ID,I1,I2,I3
1,3.198355478234589,0.8072326262481511,8.87987321941182
2,3.8417342421598732,3.9094586158171296,7.518894849345088
3,NA,NA,NA
4,9.069137750193477,9.926241966895759,7.782178311608732
5,9.865861255675554,4.0782849211245775,2.318592919036746
6,NA,NA,NA
7,1.1526456591673195,1.216414098162204,2.199151723179966
8,5.6738826259970665,0.12183959828689694,5.483971582725644
9,3.392140041105449,8.100981682073325,6.679475046694279
10,7.947215533349663,3.6897642724215984,5.682419759687036
11,7.284752095583826,5.651631543878466,7.646306362003088
12,6.362643090542406,8.581458765547723,6.470592198893428
13,9.249059055000544,7.385285426862538,5.731579668354243
14,1.943075438030064,6.56730885617435,5.578287842217833
15,1.879903043154627,5.148802679032087,5.67088155541569
16,0.3255009395070374,6.204503050539643,1.6946140863001347
17,2.628167886286974,7.730636887717992,9.39107421785593
18,1.7726743780076504,8.596907819155604,2.779247050639242
19,6.357342437840998,1.597563368268311,7.213115866761655
20,2.0162778347730637,5.54370833793655,8.453564692754298
21,1.9256167928688228,0.5531666451133788,3.5523329442366958
22,NA,NA,NA
23,8.529500588774681,7.632839970756322,3.922359182033688
24,1.8514582561329007,7.2497283993288875,2.682778495363891
25,NA,NA,NA
26,1.802961751818657,4.210991899017245,0.6993123074062169
27,NA,NA,NA
28,5.090898142661899,1.0525410226546228,4.572498064953834
29,2.3878644430078566,5.785612754989415,3.2966337678954005
30,2.1531926188617945,7.8550465032458305,9.96930638095364
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,6.983841545879841,2.2025780915282667,2.117746169678867
35,5.553986285813153,4.807378058321774,2.2767472988925874
36,5.8628058596514165,1.832130583934486,6.078885835595429
37,0.39526840671896935,4.901339879725128,1.6413332475349307
38,5.132320933043957,1.324030589312315,4.493792965076864
39,0.503465449437499,3.3527234266512096,9.166120318695903
40,2.619369332678616,0.6533983023837209,1.5934825572185218
41,9.877419511321932,2.4203399452380836,0.8932510484009981
42,6.345210301224142,1.2899569678120315,4.355610872153193
43,8.679747800342739,2.163555796723813,3.115258985199034
44,NA,NA,NA
45,7.344033005647361,6.65959735866636,5.776096684858203
46,5.293912272900343,5.380502478219569,5.936281876638532
47,8.530702183488756,2.938577320892364,3.788440313655883
48,4.320088066160679,3.820776231586933,4.539918529335409
49,7.954596779309213,4.506741166114807,0.029606632888317108
50,4.732735131401569,4.107491304166615,3.8283255277201533
51,7.5850873603485525,0.2715991763398051,5.95323532121256
52,3.974403035826981,7.514474268537015,9.178627664223313
53,5.287798461504281,4.8476094007492065,4.422159055247903
54,8.808054479304701,5.107046980410814,3.417322668246925
55,3.935341746546328,0.9266498289071023,2.7333736326545477
56,NA,NA,NA
57,4.31555176852271,1.152750609908253,6.843531206250191
58,9.108609538525343,7.351907761767507,9.706001775339246
59,7.7932334411889315,5.474381081294268,7.220924156717956
60,4.450095789507031,0.8472922444343567,0.04584826994687319
61,1.953866588883102,6.580055053345859,5.105121089145541
62,8.429121132940054,7.326791554223746,2.629886385984719
63,0.4370316746644676,6.083029368892312,9.66926017543301
64,5.377395849209279,2.3502351390197873,8.279310609214008
65,6.2367468466982245,9.988320625852793,6.194693215657026
66,6.259396600071341,3.379359203390777,5.883132710587233
67,0.5349329789169133,0.8563593798317015,9.037953119259328
68,7.9040418937802315,1.0157257318496704,7.907096571289003
69,9.382307715713978,1.1307173455134034,9.202228530775756
70,2.1471776789985597,2.919116180855781,1.674872392322868
71,3.4840450319461524,9.92790375603363,9.119547917507589
72,8.710844106972218,2.7999853785149753,6.439617332071066
73,NA,NA,NA
74,NA,NA,NA
75,4.259864853229374,1.7781886574812233,1.4386445027776062
76,8.22128308005631,7.859187584836036,8.877111857291311
77,6.703074229881167,8.84619779419154,5.138594734016806
78,0.9708540281280875,0.9570366656407714,8.17587664583698
79,5.052883985918015,2.072017106693238,2.4437364120967686
80,2.979755005799234,4.225180079229176,2.5110424985177815
81,NA,NA,NA
82,6.830064975656569,7.345185489393771,3.328523300588131
83,4.274435872212052,1.2989148613996804,5.062723206356168
84,NA,NA,NA
85,2.0774403284303844,0.5767027544789016,5.1488903583958745
86,5.392040794249624,5.852757357060909,5.914944708347321
87,NA,NA,NA
88,5.49772770376876,1.76896893652156,7.464738341514021
89,5.791532250586897,0.23268644232302904,5.418293720576912
90,4.991739839315414,9.779641586355865,8.096227657515556
91,NA,NA,NA
92,3.6625877395272255,8.061356155667454,5.660881998483092
93,6.421284782700241,0.5653034662827849,5.111994084436446
94,NA,NA,NA
95,1.0939815500751138,5.249773075338453,0.8104565157555044
96,2.3484970163553953,6.4237243589013815,4.861931523773819
97,5.973810313735157,6.163974073715508,5.062515055760741
98,6.835790767800063,5.1705957553349435,8.479162408038974
99,9.981495977845043,7.3734999960288405,0.30172484228387475
100,8.025360822211951,6.721915369853377,3.8447357108816504
101,2.879996041301638,3.8089768891222775,3.2957354211248457
102,9.823115060571581,6.220612204633653,2.551449609454721
103,8.623305354267359,6.05729210190475,4.197098882868886
104,5.0302231684327126,0.2615960990078747,0.2723062224686146
105,5.439529945142567,5.22525935433805,8.133031842298806
106,NA,NA,NA
107,5.404848884791136,8.553440326359123,9.470844177994877
108,NA,NA,NA
109,2.641085828654468,0.23063989356160164,6.306920778006315
110,0.738035743124783,8.525582381989807,9.272762886248529
111,8.42564961174503,4.503894296940416,3.187947610858828
112,2.6812881464138627,6.423989369068295,5.2900405414402485
113,4.536006550770253,5.890994442161173,6.709641858469695
114,1.5394710982218385,7.689788395073265,1.080147020984441
115,3.0410115653648973,5.166341855656356,3.752476400695741
116,6.223233335185796,9.174980332609266,0.3077642386779189
117,NA,NA,NA
118,3.429507939144969,4.952382517512888,9.355862259399146
119,1.5943177975714207,6.250880258157849,2.810508026741445
120,9.601195731665939,5.562148969620466,6.160430849995464
121,7.147260673809797,4.637172440998256,2.129114423878491
122,6.9417037116363645,8.597341503482312,3.4860639763064682
123,5.173070977907628,5.694700316525996,7.773537156172097
124,NA,NA,NA
125,0.3961003408767283,3.466563553083688,9.543509930372238
126,2.1345686656422913,6.670300725381821,5.102573132608086
127,6.619367520324886,5.231950462330133,0.725484190043062
128,8.725197920575738,3.439360256306827,7.951306356117129
129,4.921784400939941,4.618044728413224,7.5742254802025855
130,NA,NA,NA
131,NA,NA,NA
132,0.898920523468405,2.6818556245416403,7.4647185346111655
133,7.343835141509771,6.740096581634134,7.449374184943736
134,7.001151749864221,6.65880830725655,8.794496529735625
135,3.9369954611174762,5.225608178880066,6.3248945493251085
136,7.755463607609272,4.964999298099428,8.328031543642282
137,7.28059146553278,7.324836705811322,4.201773919630796
138,2.2554215835407376,8.711525090038776,2.949166293255985
139,6.715682209469378,1.1511597386561334,4.794528572820127
140,3.138665184378624,0.6976150232367218,3.7921069492585957
141,5.465727744158357,6.239959672093391,2.8017866518348455
142,5.701117573771626,4.032926014624536,9.85041935229674
143,NA,NA,NA
144,8.718236410059035,1.3385758898220956,7.838574310299009
145,NA,NA,NA
146,4.1499242931604385,4.701998790260404,6.633018997963518
147,2.150977705605328,4.723808828275651,1.756473642308265
148,NA,NA,NA
149,0.6502061476930976,4.282029056921601,1.339410908985883
150,NA,NA,NA
151,1.3922507339157164,4.607553044334054,0.8344733179546893
152,8.687842490617186,1.4954517036676407,0.8839141926728189
