age,open,extra,neuro,gender,state,insurance,active,bkg_amt
19,3.3497115874569237,5.4997614438838776,6.021063187060674,F,A,38.936686249112,22.408423401665097,199.42398120471447
48,5.6943364340905145,5.96383979331966,5.009873988376082,M,A,36.7965770061738,21.524406059435165,183.6644842168678
47,3.1598141095242536,3.8318984588025216,4.089306483225855,F,A,30.4828032227365,18.09623572423712,296.4267507877758
54,4.425327068915799,7.085425254655833,2.87189785091751,F,C,23.794909464396987,26.07589184186707,154.1139894507002
53,3.8977394168918336,7.769087196755354,2.196646684668891,F,A,21.148103628380223,26.126615070031534,297.8776537111045
43,6.697291279991172,4.6634714703047795,3.867042629423449,F,A,27.198738929072064,17.035035178741897,276.28297661179033
30,7.6070260050832985,4.4067093208514345,4.384292584168504,F,B,32.60913432326991,18.818257058521755,277.95216478895037
24,3.9427333673646645,7.770606152750491,5.125699755375926,F,B,35.49638414102951,26.721829766815077,172.77607625010862
38,6.525901318305098,5.434493170199763,5.128800208575012,M,A,36.48464753763377,19.404221407410166,269.4018454367427
27,8.580620863942189,5.294729253638764,4.605019422799928,F,B,32.10511282266943,21.567667064942974,174.449168260932
43,6.031306865134788,3.6260291042184853,5.208435004492902,F,B,37.40353365996043,18.4880188333097,193.01468105742836
33,6.019912653198919,4.717162313870827,8.794312813861048,M,A,53.16262003408327,20.36976378663139,255.05016657057783
19,6.755069510360874,9.417441721047991,4.26625694922736,F,A,31.767411187633527,28.58518436688862,416.30185108038717
53,4.389681239099508,6.815819583739021,3.276389636075178,M,B,25.933678435468572,22.293499178499445,326.8586855743709
26,3.0027579453146918,2.75998314629756,6.156450382002637,M,B,41.33854687792303,13.797994504761055,152.21722659937217
55,6.559434886362478,3.0367371244295276,4.297483760302331,F,B,31.309132584900723,16.706446309909698,71.65264150317807
23,4.595088341002691,1.792414251847163,6.853192815836694,M,B,45.53956694069964,12.968930380163068,177.46229100137975
13,5.11538530997156,4.34550788664045,4.2879072697201135,F,B,32.23398499422861,18.42824176376785,156.44512961165614
24,3.4310921302279564,4.550114849633276,4.605355789616246,M,A,34.2065308367778,17.791520055383433,289.71968463363584
19,0.3904429051175793,6.522958774346424,6.860693959108723,M,C,43.1819066691061,23.18148070641204,134.05492679874098
