ID,I1,I2,I3
1,NA,NA,NA
2,5.411695388611406,2.378916456364095,5.499071597587317
3,4.189708456397057,9.80485332896933,8.511684036348015
4,1.872474760748446,0.004642968997359276,3.473558835685253
5,NA,NA,6.648952830582857
6,2.255155371967703,5.517549437936395,2.837058245204389
7,NA,2.1603110595606267,NA
8,NA,4.299179285299033,9.800906563177705
9,6.22869208920747,8.508037170395255,NA
10,3.7098372913897038,8.057045831810683,2.5802752189338207
11,2.144703983794898,3.2416811119765043,4.591756607405841
12,8.76233680639416,NA,2.174118417315185
13,NA,6.014831743668765,0.6474681617692113
14,1.4305767067708075,7.6643781596794724,NA
15,7.6256418926641345,0.5484616803005338,9.130266555584967
16,5.657768684905022,1.895165101159364,9.291340478230268
17,2.7499491279013455,2.1934469556435943,8.485289891250432
18,3.947347830981016,3.0188431264832616,1.3777538016438484
19,2.0962395961396396,5.896824344526976,8.635338544845581
20,8.692041945178062,3.0675236973911524,6.091886374633759
21,9.143295676913112,4.687393922358751,7.938117019366473
22,NA,8.401972851715982,NA
23,8.763021090999246,4.4402363197878,6.816496774554253
24,NA,3.4264914551749825,NA
25,NA,NA,5.951071928720921
26,0.6958061270415783,NA,2.342514395713806
27,6.052600697148591,8.998158120084554,6.235067311208695
28,NA,NA,NA
29,0.8402630547061563,9.923327148426324,9.586381614208221
30,3.4180752118118107,4.744840729981661,0.004126685671508312
31,5.348633429966867,1.8594327475875616,6.556871207430959
32,0.5660919123329222,9.834256207104772,6.197860308457166
33,6.7471722746267915,0.8937045861966908,5.511396822985262
34,4.351731059141457,NA,8.618500751908869
35,NA,4.14544687140733,3.6730118398554623
36,NA,9.757189326919615,5.999639232177287
37,6.682146263774484,7.136563293170184,NA
38,5.397535869851708,7.256135840434581,6.671139490790665
39,5.82447680644691,5.4619137407280505,8.718854601029307
40,9.83888301299885,4.509894822258502,2.6254663756117225
41,4.299680322874337,7.499428689479828,NA
42,NA,2.6654773065820336,NA
43,0.36503631388768554,4.477201658301055,NA
44,6.9249545969069,3.582786612678319,6.040231774095446
45,2.035136518534273,8.120439387857914,6.777578047476709
