icecream_sales,iced_coffee_sales,summer_months,temps
25649.780754104577,28592.18227579155,0,28.593141054129227
32694.92892268997,37152.84262348071,0,37.130640870262866
26467.798120924832,24074.193453378724,0,24.111898400983772
43438.793948817656,49169.46599773873,0,49.21807464894373
52452.62839624048,47249.399498354935,0,47.25766147675458
34130.66187412807,34228.49918843373,0,34.25746385576203
40265.0478666123,38100.65212069654,0,38.042832038458435
45836.857781901344,44324.845428423985,0,44.3283984069014
34931.535193607364,38137.061695493794,0,38.073005052818914
31061.915643482105,27676.709510218392,0,27.64610389538575
52773.09514340126,50850.05372280374,0,50.89978379441891
42816.32344538104,37975.79464428411,0,37.99258283260278
41652.844270746595,37198.00616568851,0,37.24721524470951
39686.81577283355,40685.78145811928,0,40.690225807647224
49043.033376123596,44324.34517954467,0,44.27849342350382
20781.468415191543,21246.472714334126,0,21.20422950766515
45758.53839330806,49543.26934228615,0,49.60563489231281
43819.99009277812,39842.19076095485,0,39.82953987759538
35980.507281322476,41547.54989624535,0,41.54434336628765
51459.064313958,47536.922717738424,0,47.50443561656866
27765.317919842117,26410.888840346055,0,26.431016145041212
41442.47745744406,50775.20222430643,0,50.754979950003325
57386.620646314026,48060.600317648044,0,47.95027581057511
29871.227617839966,28768.245856737856,0,28.826552324206567
26530.370444059685,28105.192864739118,0,28.091956915566698
50848.38145448546,45794.435897002804,0,45.85758737935684
34145.28173752972,31552.659090695255,0,31.536351174954326
33303.66681844717,37645.08941145627,0,37.64666922155302
28571.557121761747,27413.765275003254,0,27.422884420165794
38437.56406471056,34853.570047796675,0,34.80268452919554
36141.45291241269,41688.95843192577,0,41.660720246797425
35561.01959990764,34986.78452885762,0,34.97265711023938
42517.997578452865,43927.31890559595,0,43.85401429759804
44288.64166025468,39630.14549327188,0,39.60643999187741
32711.546668753588,31191.816651504185,0,31.17050606769044
34385.717569803186,39583.585806220435,0,39.64433436328545
30387.353644175906,28917.516242962956,0,28.907399564492515
24543.662905350604,31514.388117412724,0,31.536905163666233
