ID,period,month,sq_ft,tier,avg_review,group,compliant,BPday
2120,36,1,985.8310945710712,3,6.895739216335576,treat1,0,41.52017322392208
3067,36,1,827.2213328496645,2,8.346366803381816,treat2,1,68.70360112793924
4429,36,1,734.2171804853876,1,8.056740352673339,treat1,0,67.58595312600978
2235,36,1,908.4217795851664,2,7.465712590304263,ctrl,1,56.726816674525786
819,36,1,753.3613743714425,3,7.378878634252765,treat2,0,45.623364213789024
503,36,1,632.1760361417275,2,9.623043219709928,ctrl,1,22.81261268821933
169,36,1,777.0657712757113,1,7.575436753631245,ctrl,1,29.09429146506843
2423,36,1,754.2645458092405,3,6.468914405641559,treat1,0,57.980750027260775
1572,36,1,747.7836449980441,3,7.451700267876805,treat2,0,59.94239608069364
3185,36,1,843.3035540093693,2,5.558602495163256,treat1,0,34.9727441226172
2676,36,1,951.7372016181633,3,7.023117688562005,treat1,0,28.662846625324782
1670,36,1,960.1215381407079,2,7.725644053645137,treat2,0,51.86339902000547
1924,36,1,715.6713667181397,3,6.944120563749088,ctrl,1,66.29663306744104
4515,36,1,872.7563630526846,2,3.7811155250195907,treat1,0,12.51940213463622
1539,36,1,870.3063907694138,1,8.233146204044523,ctrl,1,58.225010427011746
12,36,1,801.571945400457,3,5.745498823588694,treat1,0,34.93072735966363
3346,36,1,864.1372694865253,2,6.375493900715818,treat2,1,58.89624380381069
4424,36,1,633.7697921090637,3,7.064030752319445,treat2,0,23.646440832243748
2343,36,1,913.5632523997962,2,4.951120986533433,treat2,1,35.420229378807676
4743,36,1,849.9236968821142,3,7.574937688047257,treat2,0,35.261496573778146
2203,36,1,906.9510627259976,3,7.957691465532038,treat1,0,10.257252350900668
4946,36,1,907.8633010099502,3,5.699016260547453,treat2,1,11.041983169002723
2952,36,1,909.1181434880801,2,9.783739067478429,treat1,1,46.57787650158591
3416,36,1,847.8034132156134,2,6.391746799798923,treat2,0,8.315386854974674
1218,36,1,659.6296610694809,3,6.675853585479502,treat2,0,37.436578141734735
